CBSA,MSA,firm_addresses,solo_addresses,lawyers_in_firms,lawyers_solo,total_addresses,pct_addresses_firms,pct_addresses_solo
17300,"Clarksville, TN-KY",85,351,279,351,436,0.19495412844036697,0.805045871559633
17410,"Cleveland, OH",1685,7422,10319,7422,9107,0.18502251015702206,0.8149774898429779
17420,"Cleveland, TN",33,111,86,111,144,0.22916666666666666,0.7708333333333334
17660,"Coeur d'Alene, ID",48,317,217,317,365,0.13150684931506848,0.8684931506849315
17780,"College Station-Bryan, TX",78,386,267,386,464,0.16810344827586207,0.8318965517241379
17820,"Colorado Springs, CO",298,1387,1216,1387,1685,0.1768545994065282,0.8231454005934719
17860,"Columbia, MO",109,499,398,499,608,0.17927631578947367,0.8207236842105263
17900,"Columbia, SC",626,2328,3217,2328,2954,0.21191604603926878,0.7880839539607312
17980,"Columbus, GA-AL",114,435,421,435,549,0.20765027322404372,0.7923497267759563
18020,"Columbus, IN",34,115,132,115,149,0.22818791946308725,0.7718120805369127
18140,"Columbus, OH",1517,6020,9169,6020,7537,0.2012737163327584,0.7987262836672416
18580,"Corpus Christi, TX",190,663,716,663,853,0.2227432590855803,0.7772567409144197
18700,"Corvallis, OR",23,163,88,163,186,0.12365591397849462,0.8763440860215054
18880,"Crestview-Fort Walton Beach-Destin, FL",118,567,400,567,685,0.17226277372262774,0.8277372262773722
19100,"Dallas-Fort Worth-Arlington, TX",4654,16085,26141,16085,20739,0.22440811996721152,0.7755918800327884
19140,"Dalton, GA",53,148,185,148,201,0.263681592039801,0.736318407960199
19300,"Daphne-Fairhope-Foley, AL",81,553,257,553,634,0.1277602523659306,0.8722397476340694
19340,"Davenport-Moline-Rock Island, IA-IL",160,506,858,506,666,0.24024024024024024,0.7597597597597597
19430,"Dayton-Kettering-Beavercreek, OH",359,1601,1814,1601,1960,0.18316326530612245,0.8168367346938775
19460,"Decatur, AL",36,166,113,166,202,0.1782178217821782,0.8217821782178217
19500,"Decatur, IL",45,124,187,124,169,0.26627218934911245,0.7337278106508875
19660,"Deltona-Daytona Beach-Ormond Beach, FL",214,1048,852,1048,1262,0.16957210776545167,0.8304278922345484
19740,"Denver-Aurora-Centennial, CO",3035,10522,17341,10522,13557,0.22386958766688794,0.7761304123331121
19780,"Des Moines-West Des Moines, IA",621,1780,3515,1780,2401,0.25864223240316536,0.7413577675968347
19820,"Detroit-Warren-Dearborn, MI",2838,10870,14587,10870,13708,0.20703238984534578,0.7929676101546542
20020,"Dothan, AL",63,223,186,223,286,0.2202797202797203,0.7797202797202797
20100,"Dover, DE",62,190,262,190,252,0.24603174603174602,0.753968253968254
20220,"Dubuque, IA",36,131,147,131,167,0.2155688622754491,0.7844311377245509
20260,"Duluth, MN-WI",93,469,389,469,562,0.16548042704626334,0.8345195729537367
20500,"Durham-Chapel Hill, NC",397,2749,1485,2749,3146,0.12619198982835347,0.8738080101716466
20580,"Eagle Pass, TX",11,46,28,46,57,0.19298245614035087,0.8070175438596491
20740,"Eau Claire, WI",54,229,231,229,283,0.19081272084805653,0.8091872791519434
20940,"El Centro, CA",23,109,77,109,132,0.17424242424242425,0.8257575757575758
21060,"Elizabethtown, KY",44,182,138,182,226,0.19469026548672566,0.8053097345132744
21140,"Elkhart-Goshen, IN",65,180,256,180,245,0.2653061224489796,0.7346938775510204
21300,"Elmira, NY",31,132,121,132,163,0.1901840490797546,0.8098159509202454
21340,"El Paso, TX",234,881,985,881,1115,0.20986547085201793,0.7901345291479821
21420,"Enid, OK",30,95,123,95,125,0.24,0.76
21500,"Erie, PA",89,296,467,296,385,0.23116883116883116,0.7688311688311689
21660,"Eugene-Springfield, OR",203,928,827,928,1131,0.1794871794871795,0.8205128205128205
21780,"Evansville, IN",120,407,544,407,527,0.22770398481973433,0.7722960151802657
21820,"Fairbanks-College, AK",46,160,184,160,206,0.22330097087378642,0.7766990291262136
22020,"Fargo, ND-MN",137,408,615,408,545,0.25137614678899084,0.7486238532110092
22140,"Farmington, NM",29,99,96,99,128,0.2265625,0.7734375
22180,"Fayetteville, NC",65,478,251,478,543,0.11970534069981584,0.8802946593001841
22220,"Fayetteville-Springdale-Rogers, AR",257,1652,1074,1652,1909,0.13462545835515977,0.8653745416448402
22380,"Flagstaff, AZ",45,245,183,245,290,0.15517241379310345,0.8448275862068966
22420,"Flint, MI",120,496,407,496,616,0.19480519480519481,0.8051948051948052
22500,"Florence, SC",62,214,242,214,276,0.2246376811594203,0.7753623188405797
22520,"Florence-Muscle Shoals, AL",59,214,175,214,273,0.21611721611721613,0.7838827838827839
22540,"Fond du Lac, WI",22,90,64,90,112,0.19642857142857142,0.8035714285714286
22660,"Fort Collins-Loveland, CO",176,713,610,713,889,0.19797525309336333,0.8020247469066367
22900,"Fort Smith, AR-OK",96,414,481,414,510,0.18823529411764706,0.8117647058823529
23060,"Fort Wayne, IN",230,693,1166,693,923,0.24918743228602383,0.7508125677139762
23420,"Fresno, CA",349,1297,1589,1297,1646,0.2120291616038882,0.7879708383961118
23460,"Gadsden, AL",31,142,86,142,173,0.1791907514450867,0.8208092485549133
23540,"Gainesville, FL",202,950,741,950,1152,0.1753472222222222,0.8246527777777778
23580,"Gainesville, GA",63,315,312,315,378,0.16666666666666666,0.8333333333333334
23900,"Gettysburg, PA",40,140,186,140,180,0.2222222222222222,0.7777777777777778
24020,"Glens Falls, NY",39,203,177,203,242,0.16115702479338842,0.8388429752066116
24140,"Goldsboro, NC",12,111,37,111,123,0.0975609756097561,0.9024390243902439
24220,"Grand Forks, ND-MN",59,200,230,200,259,0.2277992277992278,0.7722007722007722
24260,"Grand Island, NE",38,136,117,136,174,0.21839080459770116,0.7816091954022989
24300,"Grand Junction, CO",70,247,297,247,317,0.22082018927444794,0.7791798107255521
24340,"Grand Rapids-Wyoming-Kentwood, MI",450,1953,2387,1953,2403,0.18726591760299627,0.8127340823970037
24420,"Grants Pass, OR",18,90,63,90,108,0.16666666666666666,0.8333333333333334
24500,"Great Falls, MT",41,193,167,193,234,0.1752136752136752,0.8247863247863247
24540,"Greeley, CO",62,356,250,356,418,0.14832535885167464,0.8516746411483254
24580,"Green Bay, WI",92,383,373,383,475,0.1936842105263158,0.8063157894736842
24660,"Greensboro-High Point, NC",300,1325,1389,1325,1625,0.18461538461538463,0.8153846153846154
24780,"Greenville, NC",49,298,178,298,347,0.14121037463976946,0.8587896253602305
24860,"Greenville-Anderson-Greer, SC",424,1555,1866,1555,1979,0.21424962102071754,0.7857503789792825
25060,"Gulfport-Biloxi, MS",228,882,796,882,1110,0.20540540540540542,0.7945945945945946
25180,"Hagerstown-Martinsburg, MD-WV",84,306,284,306,390,0.2153846153846154,0.7846153846153846
25220,"Hammond, LA",40,193,129,193,233,0.17167381974248927,0.8283261802575107
25260,"Hanford-Corcoran, CA",14,55,70,55,69,0.2028985507246377,0.7971014492753623
25420,"Harrisburg-Carlisle, PA",549,1843,2709,1843,2392,0.2295150501672241,0.7704849498327759
25500,"Harrisonburg, VA",46,171,194,171,217,0.2119815668202765,0.7880184331797235
25620,"Hattiesburg, MS",80,340,271,340,420,0.19047619047619047,0.8095238095238095
25740,"Helena, MT",96,501,386,501,597,0.16080402010050251,0.8391959798994975
25860,"Hickory-Lenoir-Morganton, NC",50,407,182,407,457,0.10940919037199125,0.8905908096280087
25940,"Hilton Head Island-Bluffton-Port Royal, SC",120,652,424,652,772,0.15544041450777202,0.844559585492228
25980,"Hinesville, GA",15,73,69,73,88,0.17045454545454544,0.8295454545454546
26140,"Homosassa Springs, FL",20,150,74,150,170,0.11764705882352941,0.8823529411764706
26300,"Hot Springs, AR",35,246,108,246,281,0.12455516014234876,0.8754448398576512
26380,"Houma-Bayou Cane-Thibodaux, LA",62,292,175,292,354,0.1751412429378531,0.8248587570621468
26420,"Houston-Pasadena-The Woodlands, TX",4518,17178,26445,17178,21696,0.20824115044247787,0.7917588495575221
26580,"Huntington-Ashland, WV-KY-OH",143,587,540,587,730,0.1958904109589041,0.8041095890410959
26620,"Huntsville, AL",184,907,777,907,1091,0.1686526122823098,0.8313473877176902
26820,"Idaho Falls, ID",55,194,213,194,249,0.22088353413654618,0.7791164658634538
26900,"Indianapolis-Carmel-Greenwood, IN",1412,5408,8812,5408,6820,0.20703812316715542,0.7929618768328446
26980,"Iowa City, IA",85,385,324,385,470,0.18085106382978725,0.8191489361702128
27060,"Ithaca, NY",74,371,286,371,445,0.1662921348314607,0.8337078651685393
27100,"Jackson, MI",41,175,182,175,216,0.18981481481481483,0.8101851851851852
27140,"Jackson, MS",653,2180,3337,2180,2833,0.230497705612425,0.769502294387575
27180,"Jackson, TN",75,271,291,271,346,0.21676300578034682,0.7832369942196532
27260,"Jacksonville, FL",897,3606,4399,3606,4503,0.19920053297801465,0.8007994670219853
27340,"Jacksonville, NC",32,198,93,198,230,0.1391304347826087,0.8608695652173913
27500,"Janesville-Beloit, WI",52,199,216,199,251,0.20717131474103587,0.7928286852589641
27620,"Jefferson City, MO",106,509,418,509,615,0.17235772357723578,0.8276422764227642
27740,"Johnson City, TN",67,316,208,316,383,0.17493472584856398,0.825065274151436
27780,"Johnstown, PA",28,130,122,130,158,0.17721518987341772,0.8227848101265823
27860,"Jonesboro, AR",54,253,182,253,307,0.1758957654723127,0.8241042345276873
27900,"Joplin, MO-KS",64,257,263,257,321,0.19937694704049844,0.8006230529595015
27980,"Kahului-Wailuku, HI",53,325,201,325,378,0.1402116402116402,0.8597883597883598
28020,"Kalamazoo-Portage, MI",136,480,731,480,616,0.22077922077922077,0.7792207792207793
28100,"Kankakee, IL",17,100,55,100,117,0.1452991452991453,0.8547008547008547
28140,"Kansas City, MO-KS",1643,5653,9335,5653,7296,0.22519188596491227,0.7748081140350878
28420,"Kennewick-Richland, WA",96,282,331,282,378,0.25396825396825395,0.746031746031746
28450,"Kenosha, WI",45,139,189,139,184,0.24456521739130435,0.7554347826086957
28660,"Killeen-Temple, TX",85,404,276,404,489,0.1738241308793456,0.8261758691206544
28700,"Kingsport-Bristol, TN-VA",110,525,467,525,635,0.1732283464566929,0.8267716535433071
28740,"Kingston, NY",75,455,270,455,530,0.14150943396226415,0.8584905660377359
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",297,1311,1389,1311,1608,0.18470149253731344,0.8152985074626866
28940,"Knoxville, TN",550,2056,2399,2056,2606,0.21105141980046047,0.7889485801995395
29020,"Kokomo, IN",19,85,49,85,104,0.18269230769230768,0.8173076923076923
29100,"La Crosse-Onalaska, WI-MN",57,275,233,275,332,0.1716867469879518,0.8283132530120482
29180,"Lafayette, LA",336,1137,1366,1137,1473,0.22810590631364563,0.7718940936863544
29200,"Lafayette-West Lafayette, IN",95,355,394,355,450,0.2111111111111111,0.7888888888888889
29340,"Lake Charles, LA",129,379,508,379,508,0.25393700787401574,0.7460629921259843
29420,"Lake Havasu City-Kingman, AZ",29,149,115,149,178,0.16292134831460675,0.8370786516853933
29460,"Lakeland-Winter Haven, FL",161,637,725,637,798,0.20175438596491227,0.7982456140350878
29540,"Lancaster, PA",132,557,728,557,689,0.19158200290275762,0.8084179970972424
29620,"Lansing-East Lansing, MI",395,1646,2064,1646,2041,0.19353258206761392,0.8064674179323861
29700,"Laredo, TX",57,239,209,239,296,0.19256756756756757,0.8074324324324325
29740,"Las Cruces, NM",71,342,277,342,413,0.17191283292978207,0.8280871670702179
29820,"Las Vegas-Henderson-North Las Vegas, NV",1132,3918,5495,3918,5050,0.22415841584158416,0.7758415841584159
29940,"Lawrence, KS",76,364,326,364,440,0.17272727272727273,0.8272727272727273
30020,"Lawton, OK",35,157,92,157,192,0.18229166666666666,0.8177083333333334
30140,"Lebanon, PA",22,119,89,119,141,0.15602836879432624,0.8439716312056738
30300,"Lewiston, ID-WA",28,97,96,97,125,0.224,0.776
30340,"Lewiston-Auburn, ME",47,148,206,148,195,0.24102564102564103,0.7589743589743589
30460,"Lexington-Fayette, KY",477,2161,2244,2161,2638,0.1808188021228203,0.8191811978771797
30500,"Lexington Park, MD",48,292,158,292,340,0.1411764705882353,0.8588235294117647
30620,"Lima, OH",41,167,139,167,208,0.1971153846153846,0.8028846153846154
30700,"Lincoln, NE",274,892,1211,892,1166,0.23499142367066894,0.7650085763293311
30780,"Little Rock-North Little Rock-Conway, AR",571,3061,2552,3061,3632,0.15721365638766518,0.8427863436123348
30860,"Logan, UT-ID",28,145,100,145,173,0.16184971098265896,0.838150289017341
30980,"Longview, TX",93,389,302,389,482,0.19294605809128632,0.8070539419087137
31020,"Longview-Kelso, WA",23,97,87,97,120,0.19166666666666668,0.8083333333333333
31080,"Los Angeles-Long Beach-Anaheim, CA",10617,40952,65109,40952,51569,0.2058795012507514,0.7941204987492486
31140,"Louisville/Jefferson County, KY-IN",899,3970,4410,3970,4869,0.18463750256726227,0.8153624974327377
31180,"Lubbock, TX",160,569,656,569,729,0.2194787379972565,0.7805212620027435
31340,"Lynchburg, VA",86,385,318,385,471,0.18259023354564755,0.8174097664543525
31420,"Macon-Bibb County, GA",181,529,741,529,710,0.2549295774647887,0.7450704225352113
31540,"Madison, WI",576,2397,3257,2397,2973,0.19374369323915236,0.8062563067608476
31700,"Manchester-Nashua, NH",240,932,1331,932,1172,0.20477815699658702,0.7952218430034129
31740,"Manhattan, KS",54,183,192,183,237,0.22784810126582278,0.7721518987341772
31860,"Mankato, MN",41,168,184,168,209,0.19617224880382775,0.8038277511961722
31900,"Mansfield, OH",49,170,144,170,219,0.2237442922374429,0.776255707762557
32580,"McAllen-Edinburg-Mission, TX",186,678,688,678,864,0.2152777777777778,0.7847222222222222
32780,"Medford, OR",75,397,284,397,472,0.15889830508474576,0.8411016949152542
32820,"Memphis, TN-MS-AR",742,2707,3780,2707,3449,0.21513482168744563,0.7848651783125543
32900,"Merced, CA",34,106,109,106,140,0.24285714285714285,0.7571428571428571
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",5971,22017,29690,22017,27988,0.21334143204230385,0.7866585679576962
33140,"Michigan City-La Porte, IN",25,127,84,127,152,0.16447368421052633,0.8355263157894737
33220,"Midland, MI",47,190,197,190,237,0.19831223628691982,0.8016877637130801
33260,"Midland, TX",81,327,351,327,408,0.19852941176470587,0.8014705882352942
33340,"Milwaukee-Waukesha, WI",1012,3765,6520,3765,4777,0.21184844044379317,0.7881515595562069
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2446,14007,15901,14007,16453,0.14866589679693673,0.8513341032030632
33500,"Minot, ND",27,80,95,80,107,0.2523364485981308,0.7476635514018691
33540,"Missoula, MT",131,505,532,505,636,0.2059748427672956,0.7940251572327044
33660,"Mobile, AL",228,757,1110,757,985,0.23147208121827412,0.7685279187817259
33700,"Modesto, CA",93,403,391,403,496,0.1875,0.8125
33740,"Monroe, LA",112,381,397,381,493,0.22718052738336714,0.7728194726166329
33780,"Monroe, MI",23,167,75,167,190,0.12105263157894737,0.8789473684210526
33860,"Montgomery, AL",282,1135,1561,1135,1417,0.1990119971771348,0.8009880028228652
34060,"Morgantown, WV",99,490,401,490,589,0.16808149405772496,0.831918505942275
34100,"Morristown, TN",33,147,85,147,180,0.18333333333333332,0.8166666666666667
34580,"Mount Vernon-Anacortes, WA",46,244,158,244,290,0.15862068965517243,0.8413793103448276
34620,"Muncie, IN",32,105,133,105,137,0.23357664233576642,0.7664233576642335
34740,"Muskegon-Norton Shores, MI",45,198,145,198,243,0.18518518518518517,0.8148148148148148
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",142,549,583,549,691,0.20549927641099855,0.7945007235890015
34900,"Napa, CA",55,405,216,405,460,0.11956521739130435,0.8804347826086957
34940,"Naples-Marco Island, FL",239,1337,1160,1337,1576,0.1516497461928934,0.8483502538071066
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1519,5834,7725,5834,7353,0.20658234734122127,0.7934176526587787
35380,"New Orleans-Metairie, LA",1458,5337,8291,5337,6795,0.21456953642384105,0.785430463576159
35620,"New York-Newark-Jersey City, NY-NJ",19477,65601,165190,65601,85078,0.22893109852135687,0.7710689014786432
35660,"Niles, MI",49,194,209,194,243,0.20164609053497942,0.7983539094650206
35840,"North Port-Bradenton-Sarasota, FL",444,2227,1698,2227,2671,0.1662298764507675,0.8337701235492325
36100,"Ocala, FL",89,422,353,422,511,0.17416829745596868,0.8258317025440313
36220,"Odessa, TX",34,111,139,111,145,0.23448275862068965,0.7655172413793103
36260,"Ogden, UT",154,913,550,913,1067,0.14432989690721648,0.8556701030927835
36420,"Oklahoma City, OK",908,3795,4361,3795,4703,0.19306825430576227,0.8069317456942378
