CBSA,MSA,firm_addresses,solo_addresses,lawyers_in_firms,lawyers_solo,total_addresses,pct_addresses_firms,pct_addresses_solo
41740,"San Diego-Chula Vista-Carlsbad, CA",2442,10890,13173,10890,13332,0.18316831683168316,0.8168316831683168
41780,"Sandusky, OH",61,315,193,315,376,0.1622340425531915,0.8377659574468085
41860,"San Francisco-Oakland-Fremont, CA",5174,22430,32708,22430,27604,0.18743660339081292,0.8125633966091871
41940,"San Jose-Sunnyvale-Santa Clara, CA",1412,5782,10013,5782,7194,0.19627467333889353,0.8037253266611065
42020,"San Luis Obispo-Paso Robles, CA",130,801,418,801,931,0.13963480128893663,0.8603651987110634
42100,"Santa Cruz-Watsonville, CA",112,771,411,771,883,0.12684031710079274,0.8731596828992072
42140,"Santa Fe, NM",254,1042,1067,1042,1296,0.19598765432098766,0.8040123456790124
42200,"Santa Maria-Santa Barbara, CA",206,1376,851,1376,1582,0.1302149178255373,0.8697850821744627
42220,"Santa Rosa-Petaluma, CA",208,1543,855,1543,1751,0.11878926327812679,0.8812107367218732
42340,"Savannah, GA",243,872,998,872,1115,0.2179372197309417,0.7820627802690583
42540,"Scranton--Wilkes-Barre, PA",277,918,1225,918,1195,0.2317991631799163,0.7682008368200837
42660,"Seattle-Tacoma-Bellevue, WA",2928,11494,17855,11494,14422,0.20302315906254334,0.7969768409374567
42680,"Sebastian-Vero Beach-West Vero Corridor, FL",76,426,262,426,502,0.15139442231075698,0.848605577689243
42700,"Sebring, FL",20,122,56,122,142,0.14084507042253522,0.8591549295774648
43100,"Sheboygan, WI",28,126,127,126,154,0.18181818181818182,0.8181818181818182
43300,"Sherman-Denison, TX",41,196,152,196,237,0.1729957805907173,0.8270042194092827
43340,"Shreveport-Bossier City, LA",219,796,887,796,1015,0.21576354679802956,0.7842364532019704
43420,"Sierra Vista-Douglas, AZ",22,155,58,155,177,0.12429378531073447,0.8757062146892656
43580,"Sioux City, IA-NE-SD",80,210,344,210,290,0.27586206896551724,0.7241379310344828
43620,"Sioux Falls, SD-MN",131,466,572,466,597,0.21943048576214405,0.7805695142378559
43640,"Slidell-Mandeville-Covington, LA",205,1078,798,1078,1283,0.1597817614964926,0.8402182385035074
43780,"South Bend-Mishawaka, IN-MI",146,630,649,630,776,0.18814432989690721,0.8118556701030928
43900,"Spartanburg, SC",97,400,414,400,497,0.19517102615694165,0.8048289738430584
44060,"Spokane-Spokane Valley, WA",323,1228,1520,1228,1551,0.2082527401676338,0.7917472598323663
44100,"Springfield, IL",170,707,841,707,877,0.19384264538198404,0.806157354618016
44140,"Springfield, MA",295,1132,1323,1132,1427,0.20672740014015417,0.7932725998598459
44180,"Springfield, MO",201,742,816,742,943,0.21314952279957583,0.7868504772004242
44220,"Springfield, OH",39,161,134,161,200,0.195,0.805
44300,"State College, PA",45,282,177,282,327,0.13761467889908258,0.8623853211009175
44420,"Staunton-Stuarts Draft, VA",26,130,102,130,156,0.16666666666666666,0.8333333333333334
44700,"Stockton-Lodi, CA",118,579,509,579,697,0.16929698708751795,0.830703012912482
44940,"Sumter, SC",31,129,100,129,160,0.19375,0.80625
45060,"Syracuse, NY",412,1301,2084,1301,1713,0.24051371862230006,0.7594862813776999
45220,"Tallahassee, FL",492,2096,2467,2096,2588,0.1901081916537867,0.8098918083462133
45300,"Tampa-St. Petersburg-Clearwater, FL",1977,7467,10485,7467,9444,0.20933926302414232,0.7906607369758577
45460,"Terre Haute, IN",41,166,176,166,207,0.19806763285024154,0.8019323671497585
45500,"Texarkana, TX-AR",71,248,208,248,319,0.2225705329153605,0.7774294670846394
45780,"Toledo, OH",328,1370,1559,1370,1698,0.19316843345111898,0.806831566548881
45820,"Topeka, KS",238,804,1127,804,1042,0.22840690978886757,0.7715930902111324
45900,"Traverse City, MI",100,510,368,510,610,0.16393442622950818,0.8360655737704918
45940,"Trenton-Princeton, NJ",412,1398,2384,1398,1810,0.2276243093922652,0.7723756906077348
46060,"Tucson, AZ",430,2244,1872,2244,2674,0.16080777860882572,0.8391922213911742
46140,"Tulsa, OK",551,2403,2651,2403,2954,0.1865267433987813,0.8134732566012187
46220,"Tuscaloosa, AL",126,413,454,413,539,0.23376623376623376,0.7662337662337663
46300,"Twin Falls, ID",29,101,104,101,130,0.2230769230769231,0.7769230769230769
46340,"Tyler, TX",126,466,479,466,592,0.21283783783783783,0.7871621621621622
46520,"Urban Honolulu, HI",554,2158,3580,2158,2712,0.2042772861356932,0.7957227138643068
46540,"Utica-Rome, NY",109,384,411,384,493,0.2210953346855984,0.7789046653144016
46660,"Valdosta, GA",52,174,228,174,226,0.23008849557522124,0.7699115044247787
46700,"Vallejo, CA",75,497,322,497,572,0.13111888111888112,0.8688811188811189
47020,"Victoria, TX",32,162,101,162,194,0.16494845360824742,0.8350515463917526
47220,"Vineland, NJ",36,143,105,143,179,0.2011173184357542,0.7988826815642458
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",836,3364,3618,3364,4200,0.19904761904761906,0.800952380952381
47300,"Visalia, CA",48,263,213,263,311,0.15434083601286175,0.8456591639871383
47380,"Waco, TX",120,471,493,471,591,0.20304568527918782,0.7969543147208121
47460,"Walla Walla, WA",27,97,73,97,124,0.21774193548387097,0.782258064516129
47580,"Warner Robins, GA",36,182,138,182,218,0.1651376146788991,0.8348623853211009
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",10130,47021,80456,47021,57151,0.17724974191177756,0.8227502580882224
47940,"Waterloo-Cedar Falls, IA",67,186,269,186,253,0.2648221343873518,0.7351778656126482
48060,"Watertown-Fort Drum, NY",30,122,99,122,152,0.19736842105263158,0.8026315789473685
48140,"Wausau, WI",76,240,326,240,316,0.24050632911392406,0.759493670886076
48260,"Weirton-Steubenville, WV-OH",44,156,141,156,200,0.22,0.78
48300,"Wenatchee-East Wenatchee, WA",58,191,243,191,249,0.23293172690763053,0.7670682730923695
48540,"Wheeling, WV-OH",87,232,408,232,319,0.2727272727272727,0.7272727272727273
48620,"Wichita, KS",272,869,1374,869,1141,0.23838737949167396,0.761612620508326
48660,"Wichita Falls, TX",37,216,117,216,253,0.14624505928853754,0.8537549407114624
48680,"Wildwood-The Villages, FL",11,245,27,245,256,0.04296875,0.95703125
48700,"Williamsport, PA",52,123,242,123,175,0.29714285714285715,0.7028571428571428
48900,"Wilmington, NC",180,1069,648,1069,1249,0.14411529223378702,0.855884707766213
49020,"Winchester, VA-WV",49,221,168,221,270,0.1814814814814815,0.8185185185185185
49180,"Winston-Salem, NC",187,1077,975,1077,1264,0.14794303797468356,0.8520569620253164
49340,"Worcester, MA",422,1787,1648,1787,2209,0.19103666817564507,0.8089633318243549
49420,"Yakima, WA",75,245,321,245,320,0.234375,0.765625
49620,"York-Hanover, PA",100,389,546,389,489,0.20449897750511248,0.7955010224948875
49660,"Youngstown-Warren, OH",162,659,563,659,821,0.19732034104750304,0.8026796589524969
49700,"Yuba City, CA",22,163,63,163,185,0.11891891891891893,0.8810810810810811
49740,"Yuma, AZ",22,132,75,132,154,0.14285714285714285,0.8571428571428571
