year,OCC_TITLE,A_Afford_Weighted,H_Afford_Weighted
2010,"Architects, except landscape and naval",0.4855553447299324,0.48554024203831253
2010,Audiologists,0.5577760677553093,0.557823464106012
2010,"Child, family, and school social workers",0.8426814530089216,0.8426896681845941
2010,Chiropractors,0.5313784387784224,0.5313827981109734
2010,"Dentists, general",0.2747379745592579,0.2747197026601777
2010,Dietitians and nutritionists,0.6472452428578045,0.6472287632169749
2010,"Educational, vocational, and school counselors",0.6410075675782549,0.6410114011278857
2010,Landscape architects,0.5915493055636766,0.5915642722854441
2010,Lawyers,0.3425692305565606,0.3425786744485904
2010,Marriage and family therapists,0.8410007673352479,0.8409291344298451
2010,Medical and public health social workers,0.7119422120874093,0.7119243368875084
2010,Mental health and substance abuse social workers,0.8997489055753037,0.8996951353093154
2010,Occupational therapists,0.4628572909286628,0.4628563221355957
2010,Optometrists,0.38368352433097663,0.38368031701627486
2010,"Pediatricians, general",0.22903560318008986,0.22904385334291877
2010,Pharmacists,0.29260984239384485,0.292611944928888
2010,Physical therapists,0.43733943979679013,0.4373437014964521
2010,Podiatrists,0.2862185419904175,0.28622595560489034
2010,Rehabilitation counselors,1.0618422032132007,1.0618059407941396
2010,Speech-language pathologists,0.505463963635494,0.5054698705980155
2010,Veterinarians,0.4181175931759183,0.41811409172901165
2011,"Architects, except landscape and naval",0.4945234921004509,0.49456212082940343
2011,Audiologists,0.5607982104187391,0.5607632314025124
2011,"Child, family, and school social workers",0.8549834066619043,0.8549679144196561
2011,Chiropractors,0.5111507721727666,0.511120402612564
2011,"Dentists, general",0.2763935288614079,0.2764026277086259
2011,Dietitians and nutritionists,0.6416795313448249,0.6416982790182526
2011,"Educational, vocational, and school counselors",0.6433450018418747,0.6433517293939495
2011,Landscape architects,0.5607060868758484,0.5607629142396885
2011,Lawyers,0.3468521784877114,0.3468647369339122
2011,Marriage and family therapists,0.8670052960174471,0.8670192092524877
2011,Medical and public health social workers,0.697813602606053,0.6978401628728935
2011,Mental health and substance abuse social workers,0.9012757862159267,0.9012199302634186
2011,Occupational therapists,0.4604791799612138,0.46049502486519844
2011,Optometrists,0.4060998863593908,0.406111478730625
2011,"Pediatricians, general",0.23080082135523614,0.23078018223234628
2011,Pharmacists,0.2905687300334572,0.2905816920518899
2011,Physical therapists,0.4335271025970852,0.4335486052427159
2011,Podiatrists,0.28364542797879405,0.28366960098630956
2011,Rehabilitation counselors,1.0527105527048604,1.0527850369205765
2011,Speech-language pathologists,0.49845451975343874,0.49848070182541937
2011,Veterinarians,0.41716553582367844,0.41716911236983123
2012,"Architects, except landscape and naval",0.4947087928397518,0.4947164046651758
2012,Audiologists,0.5327154724572666,0.532652207694264
2012,"Child, family, and school social workers",0.8436261206056169,0.8436268933424079
2012,Chiropractors,0.5128162143859182,0.5127708208042465
2012,"Dentists, general",0.2792350244529489,0.27923867359775767
2012,Dietitians and nutritionists,0.6388618777003057,0.6388916922015886
2012,"Educational, vocational, and school counselors",0.6513439008965991,0.6513615789327951
2012,Landscape architects,0.5746293530111036,0.5745577436645934
2012,Lawyers,0.34719851963014203,0.34719865741007727
2012,Marriage and family therapists,0.8819660266501781,0.8818819294610536
2012,Medical and public health social workers,0.6965256998723253,0.6965156015715469
2012,Mental health and substance abuse social workers,0.9010849876616093,0.9011176088651612
2012,Occupational therapists,0.4549273249398863,0.45493884420471686
2012,Optometrists,0.39562097855655975,0.395623122898435
2012,"Pediatricians, general",0.23685286103542233,0.2368943043355058
2012,Pharmacists,0.28491363324224983,0.28491788002631463
2012,Physical therapists,0.42963475383679384,0.42964031689513427
2012,Podiatrists,0.28819682074494524,0.28821400115875384
2012,Rehabilitation counselors,1.0460387949791092,1.0460812152009347
2012,Speech-language pathologists,0.4968481547169818,0.49686042217948245
2012,Veterinarians,0.4065253700803087,0.4065328966127719
2013,"Architects, except landscape and naval",0.48834467481096144,0.48834988689846603
2013,Audiologists,0.5218534794725861,0.5218367117618345
2013,"Child, family, and school social workers",0.8441043456426838,0.8440587431322911
2013,Chiropractors,0.538483530901965,0.5384962574402296
2013,"Dentists, general",0.2702684922403009,0.27026684440413234
2013,Dietitians and nutritionists,0.6412825487892472,0.6412642106851072
2013,"Educational, vocational, and school counselors",0.6625654435316156,0.6625658676851572
